equipment_usage_id,time_id,date,day,day_name,month,year,site_name,region,latitude,longitude,equipment_name,equipment_type,manufacture,model,capacity,purchase_date,operating_hours,downtime_hours,fuel_consumption,maintenance_cost,created_at,created_by
1,16,2025-05-16,16,Friday,5,2025,Site Batu B,Kalimantan,-1.2345,116.1234,Excavator EX-001,Excavator,Komatsu,PC200,20,2020-03-01,302,11,1542,692707,2025-05-16 07:00:00,IoT
2,19,2025-05-19,19,Monday,5,2025,Site Batu B,Kalimantan,-1.2345,116.1234,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-12,324,22,1587,691891,2025-05-19 06:00:00,IoT
3,30,2025-05-30,30,Friday,5,2025,Pit Selatan F,Kalimantan,-1.8901,115.2345,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2021-09-17,334,25,1814,794589,2025-05-30 10:00:00,IoT
4,25,2025-05-25,25,Sunday,5,2025,Area Tambang C,Papua,-4.1234,138.1234,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2019-11-23,322,21,1603,645108,2025-05-25 08:00:00,IoT
5,22,2025-05-22,22,Thursday,5,2025,Tambang Batu D,Sulawesi,-3.1234,120.1234,Excavator EX-001,Excavator,Komatsu,PC200,20,2020-03-01,289,19,1589,516073,2025-05-22 07:00:00,IoT
6,7,2025-05-07,7,Wednesday,5,2025,Tambang Batu D,Sulawesi,-3.1234,120.1234,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-12,299,12,1474,482527,2025-05-07 11:00:00,IoT
7,24,2025-05-24,24,Saturday,5,2025,Area Tambang C,Papua,-4.1234,138.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2023-04-30,250,22,1226,390784,2025-05-24 08:00:00,IoT
8,2,2025-05-02,2,Friday,5,2025,Pit Selatan F,Kalimantan,-1.8901,115.2345,Excavator EX-001,Excavator,Komatsu,PC200,20,2020-03-01,297,22,1513,722305,2025-05-02 13:00:00,IoT
9,15,2025-05-15,15,Thursday,5,2025,Tambang Batu D,Sulawesi,-3.1234,120.1234,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2019-11-23,313,16,1862,609673,2025-05-15 11:00:00,IoT
10,4,2025-05-04,4,Sunday,5,2025,Area Tambang C,Papua,-4.1234,138.1234,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2021-09-17,362,10,2069,861700,2025-05-04 06:00:00,IoT
11,13,2025-05-13,13,Tuesday,5,2025,Tambang Nikel E,Maluku,-2.789,129.4567,Excavator EX-001,Excavator,Komatsu,PC200,20,2020-03-01,280,7,1452,658030,2025-05-13 09:00:00,IoT
12,25,2025-05-25,25,Sunday,5,2025,Area Tambang C,Papua,-4.1234,138.1234,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2019-11-23,320,16,1661,554052,2025-05-25 13:00:00,IoT
13,6,2025-05-06,6,Tuesday,5,2025,Site Batu B,Kalimantan,-1.2345,116.1234,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-12,304,24,1417,662281,2025-05-06 14:00:00,IoT
14,26,2025-05-26,26,Monday,5,2025,Area Tambang C,Papua,-4.1234,138.1234,Excavator EX-001,Excavator,Komatsu,PC200,20,2020-03-01,305,3,1589,522178,2025-05-26 12:00:00,IoT
15,15,2025-05-15,15,Thursday,5,2025,Quarry A,Sumatera,-5.1234,105.1234,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2019-11-23,336,23,1819,762034,2025-05-15 17:00:00,IoT
16,14,2025-05-14,14,Wednesday,5,2025,Area Tambang C,Papua,-4.1234,138.1234,Excavator EX-001,Excavator,Komatsu,PC200,20,2020-03-01,305,22,1405,670272,2025-05-14 08:00:00,IoT
17,15,2025-05-15,15,Thursday,5,2025,Pit Selatan F,Kalimantan,-1.8901,115.2345,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2019-11-23,305,16,1823,605502,2025-05-15 09:00:00,IoT
18,19,2025-05-19,19,Monday,5,2025,Tambang Batu D,Sulawesi,-3.1234,120.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2023-04-30,250,13,1402,578202,2025-05-19 10:00:00,IoT
19,8,2025-05-08,8,Thursday,5,2025,Area Tambang C,Papua,-4.1234,138.1234,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2021-07-15,264,19,1630,659782,2025-05-08 14:00:00,IoT
20,7,2025-05-07,7,Wednesday,5,2025,Area Tambang C,Papua,-4.1234,138.1234,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2019-11-23,346,7,1675,673872,2025-05-07 07:00:00,IoT
21,9,2025-05-09,9,Friday,5,2025,Site Batu B,Kalimantan,-1.2345,116.1234,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2021-07-15,298,23,1539,639506,2025-05-09 08:00:00,IoT
22,16,2025-05-16,16,Friday,5,2025,Tambang Batu D,Sulawesi,-3.1234,120.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2023-04-30,297,22,1489,518556,2025-05-16 16:00:00,IoT
23,11,2025-05-11,11,Sunday,5,2025,Pit Selatan F,Kalimantan,-1.8901,115.2345,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2019-11-23,309,17,1825,585801,2025-05-11 13:00:00,IoT
24,21,2025-05-21,21,Wednesday,5,2025,Area Tambang C,Papua,-4.1234,138.1234,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2019-11-23,337,5,1628,734519,2025-05-21 14:00:00,IoT
25,10,2025-05-10,10,Saturday,5,2025,Tambang Batu D,Sulawesi,-3.1234,120.1234,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-12,272,5,1329,593324,2025-05-10 10:00:00,IoT
26,21,2025-05-21,21,Wednesday,5,2025,Quarry A,Sumatera,-5.1234,105.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2023-04-30,304,20,1396,471297,2025-05-21 15:00:00,IoT
27,26,2025-05-26,26,Monday,5,2025,Pit Selatan F,Kalimantan,-1.8901,115.2345,Excavator EX-001,Excavator,Komatsu,PC200,20,2020-03-01,308,22,1546,598691,2025-05-26 11:00:00,IoT
28,16,2025-05-16,16,Friday,5,2025,Tambang Nikel E,Maluku,-2.789,129.4567,Bulldozer BD-002,Bulldozer,Caterpillar,D6R,35,2021-07-15,263,13,1615,654264,2025-05-16 18:00:00,IoT
